Date,AAPL,MSFT,SPY
2021-08-09,143.37,279.991,419.029
2021-08-10,142.9,278.154,419.536
2021-08-11,143.143,278.652,420.581
2021-08-12,146.11,281.427,421.853
2021-08-13,146.316,284.385,422.609
2021-08-16,148.307,286.076,423.604
2021-08-17,147.393,284.612,420.829
2021-08-18,143.638,282.863,416.233
2021-08-19,143.97,288.743,416.865
2021-08-20,145.42,296.116,420.187
2021-08-23,146.917,296.4,423.882
2021-08-24,146.83,294.438,424.56
2021-08-25,145.588,293.841,425.442
2021-08-26,144.78,290.988,422.935
2021-08-27,145.826,291.604,426.715
2021-08-30,150.278,295.376,428.59
2021-08-31,149.007,293.714,427.968
2021-09-01,149.676,293.666,428.199
2021-09-02,150.792,293.002,429.501
2021-09-03,151.422,292.993,429.396
2021-09-07,153.769,292.053,427.874
2021-09-08,152.211,292.082,427.347
2021-09-09,151.195,289.212,425.508
2021-09-10,146.189,287.708,422.167
2021-09-13,146.76,288.958,423.23
2021-09-14,145.35,291.674,420.953
2021-09-15,146.247,296.565,424.475
2021-09-16,146.01,296.958,423.796
2021-09-17,143.34,291.75,419.67
2021-09-20,140.276,286.332,412.674
2021-09-21,140.76,286.82,412.292
2021-09-22,143.133,290.501,416.301
2021-09-23,144.1,291.448,421.366
2021-09-24,144.189,291.243,422.065
2021-09-27,142.671,286.203,420.848
2021-09-28,139.26,275.85,412.377
2021-09-29,140.167,276.319,413.067
2021-09-30,138.857,274.296,408.012
2021-10-01,139.991,281.271,412.864
2021-10-04,136.551,275.451,407.535
2021-10-05,138.472,280.951,411.783
2021-10-06,139.349,285.178,413.486
2021-10-07,140.622,286.869,417.067
2021-10-08,140.237,286.869,416.301
2021-10-11,140.147,286.263,413.287
2021-10-12,138.867,284.962,412.283
2021-10-13,138.277,288.292,413.756
2021-10-14,141.083,294.564,420.714
2021-10-15,142.15,295.97,423.92
2021-10-18,143.824,298.981,425.184
2021-10-19,145.982,299.897,428.467
2021-10-20,146.476,299.095,430.14
2021-10-21,146.692,302.35,431.27
2021-10-22,145.914,300.795,430.82
2021-10-25,145.864,299.799,433.125
